time,energy
593,1.225812468405872e+34
594,1.225789390433322e+34
595,1.2257830890613484e+34
596,1.225793431360527e+34
597,1.2258202308261209e+34
598,1.2258632473079824e+34
599,1.225922186954123e+34
600,1.2259967021877848e+34
601,1.2260863917416794e+34
602,1.2261908007766995e+34
603,1.2263094211158164e+34
604,1.226441691627001e+34
605,1.2265869987916848e+34
606,1.2267446774975101e+34
607,1.226914012095708e+34
608,1.227094237764328e+34
609,1.2272845422185922e+34
610,1.2274840678086878e+34
611,1.2276919140432878e+34
612,1.2279071405738407e+34
613,1.2281287706700575e+34
614,1.228355795211054e+34
615,1.228587177209137e+34
616,1.2288218568742992e+34
617,1.2290587572171318e+34
618,1.229296790176199e+34
619,1.2295348632430953e+34
620,1.2297718865446998e+34
621,1.2300067803278693e+34
622,1.2302384827773512e+34
623,1.2304659580835587e+34
624,1.2306882046634898e+34
625,1.2309042634260975e+34
626,1.23111322596333e+34
627,1.2313142425404489e+34
628,1.231506529754548e+34
629,1.2316893777288721e+34
630,1.231862156712864e+34
631,1.2320243229640152e+34
632,1.2321754237975617e+34
633,1.2323151017037084e+34
634,1.2324430974490345e+34
635,1.2325592520985491e+34
636,1.2326635079169011e+34
637,1.2327559081307142e+34
638,1.2328365955581805e+34
639,1.2329058101359347e+34
640,1.2329638853960856e+34
641,1.2330112439672963e+34
642,1.2330483921922322e+34
643,1.23307591396905e+34
644,1.2330944639364107e+34
645,1.2331047601295371e+34
646,1.2331075762390368e+34
647,1.2331037336046535e+34
648,1.233094093073019e+34
649,1.233079546842253e+34
650,1.2330610104072877e+34
651,1.2330394147086757e+34
652,1.2330156985748636e+34
653,1.232990801534073e+34
654,1.2329656570575416e+34
655,1.2329411862814614e+34
656,1.232918292240897e+34
657,1.2328978546356902e+34
658,1.2328807251361123e+34
659,1.2328677232250313e+34
660,1.2328596325637811e+34
661,1.2328571978607873e+34
662,1.2328611222153487e+34
663,1.2328720649037785e+34
664,1.2328906395712417e+34
665,1.2329174127900196e+34
666,1.2329529029434488e+34
667,1.2329975793942813e+34
668,1.2330518618965964e+34
669,1.2331161202115302e+34
670,1.2331906738889154e+34
671,1.2332757921793373e+34
672,1.2333716940440713e+34
673,1.233478548233734e+34
674,1.2335964734101925e+34
675,1.2337255382902095e+34
676,1.2338657617933177e+34
677,1.2340171131804721e+34
678,1.2341795121740702e+34
679,1.234352829053933e+34
680,1.2345368847278429e+34
681,1.2347314507792297e+34
682,1.234936249498592e+34
683,1.2351509539091444e+34
684,1.2353751878009126e+34
685,1.2356085257909365e+34
686,1.235850493430249e+34
687,1.2361005673808978e+34
688,1.236358175688627e+34
689,1.2366226981791791e+34
690,1.2368934670089641e+34
691,1.2371697674040952e+34
692,1.2374508386254548e+34
693,1.2377358752008267e+34
694,1.2380240284674783e+34
695,1.2383144084692544e+34
696,1.2386060862509172e+34
697,1.2388980965892697e+34
698,1.2391894411958091e+34
699,1.2394790924195358e+34
700,1.239765997471324e+34
701,1.2400490831828606e+34
702,1.2403272613036244e+34
703,1.2405994343286203e+34
704,1.2408645018376432e+34
705,1.2411213673138533e+34
706,1.241368945395683e+34
707,1.2416061695018143e+34
708,1.241831999754697e+34
709,1.2420454311142073e+34
710,1.2422455016201907e+34
711,1.2424313006313177e+34
712,1.2426019769384554e+34
713,1.2427567466241818e+34
714,1.2428949005365957e+34
715,1.2430158112455537e+34
716,1.2431189393532136e+34
717,1.2432038390382926e+34
718,1.24327016272483e+34
719,1.2433176647811187e+34
720,1.2433462041725724e+34
721,1.2433557460129789e+34
722,1.2433463619812572e+34
723,1.2433182295946228e+34
724,1.243271630353231e+34
725,1.2432069467949558e+34
726,1.2431246585212165e+34
727,1.2430253372748784e+34
728,1.2429096411686227e+34
729,1.2427783081762403e+34
730,1.2426321490097495e+34
731,1.242472039511857e+34
732,1.2422989126960893e+34
733,1.2421137505660206e+34
734,1.241917575840743e+34
735,1.241711443706442e+34
736,1.2414964337041224e+34
737,1.2412736418517483e+34
738,1.2410441730858431e+34
739,1.2408091340934882e+34
740,1.2405696265912417e+34
741,1.2403267410931361e+34
742,1.2400815511961471e+34
743,1.2398351083985684e+34
744,1.2395884374549298e+34
745,1.2393425322605932e+34
746,1.2390983522500924e+34
747,1.2388568192856879e+34
748,1.2386188150064922e+34
749,1.2383851786038356e+34
750,1.2381567049851897e+34
751,1.2379341432868698e+34
752,1.2377181956947316e+34
753,1.2375095165320736e+34
754,1.2373087115747688e+34
755,1.2371163375552166e+34
756,1.2369329018188248e+34
757,1.2367588620993517e+34
758,1.236594626382438e+34
759,1.2364405528299538e+34
760,1.2362969497412818e+34
761,1.2361640755313621e+34
762,1.23604213870909e+34
763,1.2359312978435588e+34
764,1.2358316615095406e+34
765,1.2357432882075753e+34
766,1.2356661862580105e+34
767,1.2356003136723013e+34
768,1.2355455780088759e+34
769,1.2355018362247907e+34
770,1.235468894538341e+34
771,1.2354465083216133e+34
772,1.2354343820457296e+34
773,1.2354321693051342e+34
774,1.2354394729506868e+34
775,1.2354558453644577e+34
776,1.2354807889119047e+34
777,1.235513756609414e+34
778,1.23555415304692e+34
779,1.2356013356063103e+34
780,1.235654616016504e+34
781,1.2357132622852606e+34
782,1.2357765010459191e+34
783,1.2358435203542124e+34
784,1.2359134729660743e+34
785,1.2359854801218223e+34
786,1.2360586358552868e+34
787,1.2361320118382371e+34
788,1.236204662760838e+34
789,1.2362756322378708e+34
790,1.236343959218096e+34
791,1.2364086848607177e+34
792,1.2364688598286622e+34
793,1.2365235519337968e+34
794,1.236571854054735e+34
795,1.2366128922341e+34
796,1.2366458338495887e+34
797,1.2366698957424573e+34
798,1.236684352178713e+34
799,1.2366885425127983e+34
800,1.236681878421352e+34
801,1.2366638505760033e+34
802,1.2366340346293465e+34
803,1.2365920963972442e+34
804,1.2365377961333398e+34
805,1.236470991807816e+34
806,1.2363916413215654e+34
807,1.2362998036084533e+34
808,1.2361956386015364e+34
809,1.2360794060631147e+34
810,1.2359514633025498e+34
811,1.2358122618289686e+34
812,1.2356623430075405e+34
813,1.235502332807207e+34
814,1.2353329357439974e+34
815,1.2351549281369271e+34
816,1.234969150802634e+34
817,1.234776501320297e+34
818,1.2345779259999506e+34
819,1.2343744116852546e+34
820,1.2341669775163077e+34
821,1.2339566667695357e+34
822,1.2337445388804403e+34
823,1.2335316617415907e+34
824,1.233319104353396e+34
825,1.2331079298898118e+34
826,1.2328991892261893e+34
827,1.2326939149628068e+34
828,1.232493115965649e+34
829,1.2322977724356286e+34
830,1.2321088315081539e+34
831,1.2319272033762476e+34
832,1.2317537579220724e+34
833,1.2315893218339406e+34
834,1.2314346761790512e+34
835,1.2312905543967864e+34
836,1.2311576406735653e+34
837,1.2310365686580365e+34
838,1.2309279204745817e+34
839,1.2308322259934672e+34
840,1.2307499623172584e+34
841,1.230681553445107e+34
842,1.2306273700790192e+34
843,1.2305877295391696e+34
844,1.230562895758523e+34
845,1.2305530793305179e+34
846,1.230558437587179e+34
847,1.230579074688797e+34
848,1.2306150417101594e+34
849,1.2306663367122046e+34
850,1.2307329047919508e+34
851,1.2308146381074812e+34
852,1.230911375878766e+34
853,1.2310229043690644e+34
854,1.2311489568556073e+34
855,1.2312892136021893e+34
856,1.231443301850157e+34
857,1.2316107958480983e+34
858,1.2317912169441841e+34
859,1.2319840337686483e+34
860,1.2321886625371674e+34
861,1.2324044675089063e+34
862,1.2326307616356076e+34
863,1.2328668074402287e+34
864,1.2331118181651925e+34
865,1.2333649592311222e+34
866,1.233625350046938e+34
867,1.233892066211178e+34
868,1.234164142142316e+34
869,1.2344405741724878e+34
870,1.234720324134367e+34
871,1.235002323464807e+34
872,1.2352854778412775e+34
873,1.2355686723580578e+34
874,1.2358507772386571e+34
875,1.2361306540691145e+34
876,1.2364071625239129e+34
877,1.2366791675424367e+34
878,1.2369455468995707e+34
879,1.237205199099607e+34
880,1.2374570515085236e+34
881,1.2377000686264809e+34
882,1.2379332603906118e+34
883,1.2381556903883588e+34
884,1.2383664838543573e+34
885,1.2385648353195655e+34
886,1.2387500157804779e+34
887,1.238921379259042e+34
888,1.2390783686304757e+34
889,1.2392205206065635e+34
890,1.2393474697759357e+34
891,1.2394589516200062e+34
892,1.2395548044431296e+34
893,1.2396349701775286e+34
894,1.2396994940469704e+34
895,1.2397485230972145e+34
896,1.239782303625179e+34
897,1.2398011775616875e+34
898,1.2398055778838072e+34
899,1.2397960231513118e+34
900,1.2397731112771513e+34
901,1.2397375126533794e+34
902,1.2396899627616486e+34
903,1.239631254400984e+34
904,1.2395622296653516e+34
905,1.239483771799783e+34
906,1.2393967970570265e+34
907,1.2393022466672653e+34
908,1.2392010790219872e+34
909,1.2390942621601138e+34
910,1.2389827666305555e+34
911,1.2388675587909487e+34
912,1.2387495945879705e+34
913,1.2386298138506664e+34
914,1.2385091351150755e+34
915,1.238388450986351e+34
916,1.2382686240337419e+34
917,1.238150483204371e+34
918,1.2380348207338108e+34
919,1.2379223895249619e+34
920,1.2378139009617105e+34
921,1.2377100231201845e+34
922,1.2376113793380181e+34
923,1.2375185471007826e+34
924,1.2374320572044992e+34
925,1.2373523931537894e+34
926,1.2372799907565992e+34
927,1.2372152378784404e+34
928,1.237158474321607e+34
929,1.2371099917977407e+34
930,1.237070033965358e+34
931,1.2370387965074086e+34
932,1.2370164272276052e+34
933,1.237003026148019e+34
934,1.2369986455943176e+34
935,1.23700329025893e+34
936,1.23701691723639e+34
937,1.237039436029082e+34
938,1.2370707085255952e+34
939,1.2371105489578724e+34
940,1.237158723847278e+34
941,1.237214951953646e+34
942,1.237278904245193e+34
943,1.237350203910961e+34
944,1.2374284264410702e+34
945,1.237513099803498e+34
946,1.237603704749307e+34
947,1.2376996752810885e+34
948,1.2378003993218685e+34
949,1.2379052196236382e+34
950,1.2380134349559816e+34
951,1.238124301615843e+34
952,1.2382370352991362e+34
953,1.238350813373588e+34
954,1.238464777589761e+34
955,1.2385780372635164e+34
956,1.2386896729581703e+34
957,1.2387987406881567e+34
958,1.2389042766581033e+34
959,1.2390053025417103e+34
960,1.2391008312937396e+34
961,1.239189873475684e+34
962,1.2392714440614444e+34
963,1.239344569673943e+34
964,1.2394082961876526e+34
965,1.2394616966165286e+34
966,1.239503879192849e+34
967,1.2395339955308564e+34
968,1.2395512487602694e+34
969,1.239554901508433e+34
970,1.239544283605761e+34
971,1.2395187993869668e+34
972,1.2394779344606577e+34
973,1.239421261822831e+34
974,1.2393484471963833e+34
975,1.2392592534892827e+34
976,1.239153544278577e+34
977,1.2390312862455207e+34
978,1.238892550508058e+34
979,1.2387375128198968e+34
980,1.238566452629566e+34
981,1.2383797510171573e+34
982,1.238177887550127e+34
983,1.2379614361216962e+34
984,1.2377310598552489e+34
985,1.2374875051751762e+34
986,1.2372315951582456e+34
987,1.2369642222895523e+34
988,1.2366863407532422e+34
989,1.2363989583905006e+34
990,1.2361031284559546e+34
991,1.2357999412989346e+34
992,1.2354905160883967e+34
993,1.235175992690225e+34
994,1.2348575237936237e+34
995,1.2345362673699695e+34
996,1.2342133795333438e+34
997,1.233890007857515e+34
998,1.233567285189874e+34
999,1.2332463239891042e+34
1000,1.2329282112005176e+34
